Macro Recording Summary
=======================
Total Duration: 39602.135ms (39.60s)
Total Events: 367

Event Log:
--------------------------------------------------------------------------------
  6835.441ms | MOUSE DOWN | left at (4756, 1407)
  6948.757ms | MOUSE UP   | left at (4756, 1407) (held 113.316ms)
  8261.517ms | MOUSE DOWN | left at (2602, 1297)
  8397.565ms | MOUSE UP   | left at (2602, 1297) (held 136.048ms)
 10442.225ms | KEY DOWN   | f8
 10455.282ms | MOUSE UP   | left at (2661, 1205) (held 0.000ms) [ORPHAN]
 10457.071ms | MOUSE UP   | left at (2661, 1205) (held 0.000ms) [ORPHAN]
 10458.524ms | MOUSE UP   | right at (2661, 1205) (held 0.000ms) [ORPHAN]
 10461.132ms | KEY UP     | e (held 0.000ms) [ORPHAN]
 10462.137ms | KEY UP     | q (held 0.000ms) [ORPHAN]
 10463.126ms | KEY UP     | tab (held 0.000ms) [ORPHAN]
 10603.281ms | KEY UP     | f8 (held 161.056ms)
 10682.193ms | MOUSE DOWN | left at (2661, 1205)
 11196.963ms | MOUSE DOWN | right at (2662, 1204)
 11249.406ms | MOUSE UP   | right at (2662, 1204) (held 52.444ms)
 11250.360ms | MOUSE UP   | left at (2662, 1204) (held 568.167ms)
 11251.198ms | KEY DOWN   | e
 11263.657ms | KEY UP     | e (held 12.459ms)
 11453.386ms | KEY DOWN   | tab
 11505.574ms | KEY UP     | tab (held 52.188ms)
 11857.264ms | MOUSE DOWN | left at (3027, 733)
 12409.550ms | MOUSE UP   | left at (867, 1146) (held 552.285ms)
 12560.936ms | KEY DOWN   | tab
 12613.321ms | KEY UP     | tab (held 52.385ms)
 12914.545ms | MOUSE DOWN | left at (867, 1146)
 12965.835ms | MOUSE UP   | left at (867, 1146) (held 51.290ms)
 13048.204ms | MOUSE DOWN | left at (867, 1146)
 13099.752ms | MOUSE UP   | left at (867, 1146) (held 51.547ms)
 13150.875ms | MOUSE DOWN | left at (867, 1146)
 13202.068ms | MOUSE UP   | left at (867, 1146) (held 51.192ms)
 13253.023ms | MOUSE DOWN | left at (867, 1146)
 13304.486ms | MOUSE UP   | left at (867, 1146) (held 51.463ms)
 13355.824ms | MOUSE DOWN | left at (867, 1146)
 13407.264ms | MOUSE UP   | left at (867, 1146) (held 51.440ms)
 13464.502ms | MOUSE DOWN | left at (867, 1146)
 13465.852ms | KEY DOWN   | e
 13473.177ms | KEY UP     | e (held 7.324ms)
 13490.434ms | KEY DOWN   | e
 13497.584ms | KEY UP     | e (held 7.150ms)
 13514.358ms | MOUSE UP   | left at (867, 1146) (held 49.856ms)
 13515.673ms | KEY DOWN   | e
 13522.725ms | KEY UP     | e (held 7.051ms)
 13540.568ms | KEY DOWN   | e
 13547.732ms | KEY UP     | e (held 7.164ms)
